MeasurementDateGMT,Waterloo Place (The Crown Estate): PM2.5 Particulate (ug/m3),Waterloo Place (The Crown Estate): PM10 Particulate (ug/m3),Waterloo Place (The Crown Estate): Ozone (ug/m3),Waterloo Place (The Crown Estate): Nitrogen Dioxide (ug/m3)
2023/10/27 0:00,7.6,11.8,,43.5
2023/10/27 1:00,7.2,11.3,,44.8
2023/10/27 2:00,7,11.2,,38.6
2023/10/27 3:00,6.7,11.1,,38.5
2023/10/27 4:00,6.4,10.9,,38.9
2023/10/27 5:00,6.8,11.6,,42.2
2023/10/27 6:00,6.8,12.7,,45.9
2023/10/27 7:00,8.1,20.1,,49.2
2023/10/27 8:00,9.2,22.4,,53.6
2023/10/27 9:00,5.5,11.5,,59.9
2023/10/27 10:00,4.9,10.8,,58.1
2023/10/27 11:00,4.4,10.5,,51.9
2023/10/27 12:00,3.2,8,,48
2023/10/27 13:00,4.3,13.5,,45.4
2023/10/27 14:00,3.8,9.4,,58.8
2023/10/27 15:00,3.4,7.7,,64.3
2023/10/27 16:00,4.2,8.4,,48
2023/10/27 17:00,5.1,9.5,,61.5
2023/10/27 18:00,6.1,10.6,,60
2023/10/27 19:00,6.8,12.3,,55.4
2023/10/27 20:00,6.2,10.4,,43.5
2023/10/27 21:00,4.9,9.3,,50.1
2023/10/27 22:00,4.2,6.9,,39.3
2023/10/27 23:00,3.2,4.8,,27.5
2023/10/28 0:00,2.8,4.6,,28.3
2023/10/28 1:00,2.6,4.6,,18.4
2023/10/28 2:00,2.9,5.5,,20
2023/10/28 3:00,2.3,4.3,,24.4
2023/10/28 4:00,2.2,3.9,,20.1
2023/10/28 5:00,2,4,,27.8
2023/10/28 6:00,2,4,,32.9
2023/10/28 7:00,3.3,6.7,,32.4
2023/10/28 8:00,3.8,8.2,,30.7
2023/10/28 9:00,4.3,9,,30.4
2023/10/28 10:00,5.7,12.7,,24.5
2023/10/28 11:00,9.1,21.7,,18.9
2023/10/28 12:00,8,16.7,,18.2
2023/10/28 13:00,8.5,17.5,,21
2023/10/28 14:00,8.7,17.4,,20.3
2023/10/28 15:00,8.5,16.6,,15.7
2023/10/28 16:00,7,12.4,,22.6
2023/10/28 17:00,5.8,10.5,,28.7
2023/10/28 18:00,3.6,6,,25.2
2023/10/28 19:00,2.5,3.6,,30.8
2023/10/28 20:00,5.6,8,,41.9
2023/10/28 21:00,6,8.4,,49.1
2023/10/28 22:00,4.8,8.4,,37
2023/10/28 23:00,3.3,5,,43.8
2023/10/29 0:00,1.5,2.7,,20.3
2023/10/29 1:00,1.9,4.2,,18.2
2023/10/29 2:00,2.4,6.1,,14.6
2023/10/29 3:00,2.7,6.6,,11.6
2023/10/29 4:00,1.9,4.2,,13.3
2023/10/29 5:00,2.4,5.8,,14.2
2023/10/29 6:00,4,9,,16.1
2023/10/29 7:00,4.1,10,,19.9
2023/10/29 8:00,4.9,13.3,,21.2
2023/10/29 9:00,6.2,14.9,,25.5
2023/10/29 10:00,7.1,16.3,,35.5
2023/10/29 11:00,3.5,6.5,,30.4
2023/10/29 12:00,3.2,5.9,,33.5
2023/10/29 13:00,3.5,6.6,,43.3
2023/10/29 14:00,2.3,3.8,,28.2
2023/10/29 15:00,2.8,4.7,,39.4
2023/10/29 16:00,3.7,6.9,,48.8
2023/10/29 17:00,4.9,10.2,,36.9
2023/10/29 18:00,5.4,9.7,,32.4
2023/10/29 19:00,5.2,8.7,,34.1
2023/10/29 20:00,5.3,9.7,,32.8
2023/10/29 21:00,4.6,9,,28.6
2023/10/29 22:00,4.6,8.9,,31.6
2023/10/29 23:00,4.8,10.4,,15.7
2023/10/30 0:00,5.5,12.8,,16.5
2023/10/30 1:00,6.1,13.2,,17.3
2023/10/30 2:00,6.9,14.8,,17.4
2023/10/30 3:00,7,15.3,,11.6
2023/10/30 4:00,6.4,12.9,,22
2023/10/30 5:00,6.8,14.1,,23.4
2023/10/30 6:00,6.9,14,,35.6
2023/10/30 7:00,8,16.2,,57.3
2023/10/30 8:00,9.6,20.6,,55.3
2023/10/30 9:00,8.8,23.4,,61.4
2023/10/30 10:00,5.3,11.9,,54.3
2023/10/30 11:00,5.2,12.3,,47.3
2023/10/30 12:00,6.9,17.2,,
2023/10/30 13:00,6.9,16.6,,45.6
2023/10/30 14:00,7.5,19.6,,47.3
2023/10/30 15:00,5.6,15.4,,45.7
2023/10/30 16:00,6.9,19.5,,60.1
2023/10/30 17:00,12.1,27,,62.5
2023/10/30 18:00,7.9,16.1,,56.5
2023/10/30 19:00,9.8,18.1,,58.1
2023/10/30 20:00,7.5,12.9,,54.9
2023/10/30 21:00,6,10.4,,55.4
2023/10/30 22:00,8.2,12.1,,63.3
2023/10/30 23:00,7,11.2,,54.1
2023/10/31 0:00,6.4,10.6,,41.9
2023/10/31 1:00,6.8,11.4,,39.6
2023/10/31 2:00,6.3,9.8,,36.7
2023/10/31 3:00,7.2,11.5,,51.2
2023/10/31 4:00,6.6,10.5,,52.3
2023/10/31 5:00,6.6,11,,54.3
2023/10/31 6:00,5.2,9.6,,47.7
2023/10/31 7:00,5.4,11.7,,57.5
2023/10/31 8:00,7.4,21.6,,65.3
2023/10/31 9:00,7.7,20.5,,56.6
2023/10/31 10:00,6.3,14.6,,48.3
2023/10/31 11:00,5.7,15.7,,44.7
2023/10/31 12:00,5.2,16.5,,38.6
2023/10/31 13:00,4,11.7,,61.4
2023/10/31 14:00,5.3,14.9,,37.5
2023/10/31 15:00,4.3,13.2,,42.5
2023/10/31 16:00,4.9,12.2,,44.6
2023/10/31 17:00,6.1,12.1,,61
2023/10/31 18:00,8.4,14.6,,65
2023/10/31 19:00,9.7,14.9,,57.2
2023/10/31 20:00,7.1,11.1,,48.7
2023/10/31 21:00,5.2,7.3,,50.4
2023/10/31 22:00,4.3,6.2,,41.7
2023/10/31 23:00,3,4.5,,36.4
2023/11/1 0:00,1.7,2.6,,24
