LocalAuthorityCode,LocalAuthorityName,SiteCode,SiteName,SiteType,DateClosed,DateOpened,Latitude,Longitude,LatitudeWGS84,LongitudeWGS84,DataOwner,DataManager,SiteLink,SpeciesCode,SpeciesDescription,DateMeasurementStarted,DateMeasurementFinished
27,Richmond,TD0,#NAME?,Suburban,2018/1/1 0:00,1996/8/8 0:00,51.42430434,-0.345714576,6696103.277,-37808.88581,Richmond,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=TD0,NO2,Nitrogen Dioxide,2007/12/1 0:00,2018/1/1 0:00
27,Richmond,TD0,#NAME?,Suburban,2018/1/1 0:00,1996/8/8 0:00,51.42430434,-0.345714576,6696103.277,-37808.88581,Richmond,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=TD0,O3,Ozone,2007/12/1 0:00,2018/1/1 0:00
27,Richmond,TD0,#NAME?,Suburban,2018/1/1 0:00,1996/8/8 0:00,51.42430434,-0.345714576,6696103.277,-37808.88581,Richmond,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=TD0,PM25,PM2.5 Particulate,2007/1/1 0:00,2018/1/1 0:00
27,Richmond,TD0,#NAME?,Suburban,2018/1/1 0:00,1996/8/8 0:00,51.42430434,-0.345714576,6696103.277,-37808.88581,Richmond,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=TD0,SO2,Sulphur Dioxide,2007/12/1 0:00,2007/10/1 0:00
1,Barking and Dagenham,BG3,Barking and Dagenham - North Street,Kerbside,2011/5/25 0:00,2007/3/16 0:00,51.540444,0.074418,6717454.583,8284.173866,Barking and Dagenham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=BG3,NO2,Nitrogen Dioxide,2008/1/1 0:00,2011/5/25 0:00
1,Barking and Dagenham,BG1,Barking and Dagenham - Rush Green,Suburban,,1999/11/2 0:00,51.563752,0.177891,6721627.345,19802.73554,Barking and Dagenham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=BG1,NO2,Nitrogen Dioxide,2008/1/1 0:00,
1,Barking and Dagenham,BG1,Barking and Dagenham - Rush Green,Suburban,,1999/11/2 0:00,51.563752,0.177891,6721627.345,19802.73554,Barking and Dagenham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=BG1,SO2,Sulphur Dioxide,1999/10/23 0:00,
1,Barking and Dagenham,BG2,Barking and Dagenham - Scrattons Farm,Suburban,,1999/10/17 0:00,51.529389,0.132857,6715476.187,14789.57359,Barking and Dagenham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=BG2,NO2,Nitrogen Dioxide,2007/11/21 0:00,
1,Barking and Dagenham,BG2,Barking and Dagenham - Scrattons Farm,Suburban,,1999/10/17 0:00,51.529389,0.132857,6715476.187,14789.57359,Barking and Dagenham,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=BG2,PM10,PM10 Particulate,1999/10/17 0:00,
2,Barnet,BN2,Barnet - Finchley,Urban Background,2012/4/20 0:00,2000/8/9 13:00,51.591901,-0.205992,6726669.629,-22930.92455,Barnet,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=BN2,NO2,Nitrogen Dioxide,2008/1/1 0:00,2012/4/20 0:00
2,Barnet,BN2,Barnet - Finchley,Urban Background,2012/4/20 0:00,2000/8/9 13:00,51.591901,-0.205992,6726669.629,-22930.92455,Barnet,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=BN2,PM10,PM10 Particulate,2012/1/31 13:00,2012/4/20 0:00
2,Barnet,BN3,Barnet - Strawberry Vale ,Urban Background,2002/5/15 0:00,2000/8/14 14:00,51.60088485,-0.172297542,6728279.548,-19180.07465,Barnet,King's College London,http://www.londonair.org.uk/london/asp/publicdetails.asp?site=BN3,NO2,Nitrogen Dioxide,1999/4/1 0:00,2002/5/15 0:00
